Entity,Code,Year,Renewables per capita (kWh)
Australia,AUS,1988,2.543672
Australia,AUS,1989,2.503504
Australia,AUS,1990,2.5416170000000005
Australia,AUS,1991,2.646793
Australia,AUS,1992,2.6535290000000002
Australia,AUS,1993,2.6942399999999997
Australia,AUS,1994,2.6327030000000002
Australia,AUS,1995,2.5449189999999997
Australia,AUS,1996,2.588196
Australia,AUS,1997,2.5663760000000004
Australia,AUS,1998,2.5305340000000003
Australia,AUS,1999,2.587144
Australia,AUS,2000,2.565069
Australia,AUS,2001,2.4818490000000004
Australia,AUS,2002,2.537384
Australia,AUS,2003,2.591864
Australia,AUS,2004,2.637543
Australia,AUS,2005,2.7659279999999997
Australia,AUS,2006,2.798649
Australia,AUS,2007,2.749236
Australia,AUS,2008,2.77023
Australia,AUS,2009,3.014951
Australia,AUS,2010,3.471619
Australia,AUS,2011,4.418236
Australia,AUS,2012,4.1904200000000005
Australia,AUS,2013,4.645385
Australia,AUS,2014,4.226812
Australia,AUS,2015,4.406212000000001
Australia,AUS,2016,4.853733
Australia,AUS,2017,4.567292
Australia,AUS,2018,5.587851
Australia,AUS,2019,6.052054
Austria,AUT,1965,6.115679
Austria,AUT,1966,6.548109999999999
Austria,AUT,1967,6.646093
Austria,AUT,1968,6.7895069999999995
Austria,AUT,1969,6.209243000000001
Austria,AUT,1970,7.868295
Austria,AUT,1971,6.188416
Austria,AUT,1972,6.334408000000001
Austria,AUT,1973,7.014451
Austria,AUT,1974,8.272947
Austria,AUT,1975,8.653814
Austria,AUT,1976,7.47634
Austria,AUT,1977,9.064358
Austria,AUT,1978,9.082336
Austria,AUT,1979,10.245042
Austria,AUT,1980,10.625611000000001
Austria,AUT,1981,11.267194
Austria,AUT,1982,11.289545
Austria,AUT,1983,11.182108000000001
Austria,AUT,1984,9.804415
Austria,AUT,1985,11.226078
Austria,AUT,1986,11.727306
Austria,AUT,1987,13.197567
Austria,AUT,1988,13.183864
Austria,AUT,1989,13.076518
Austria,AUT,1990,11.751996
Austria,AUT,1991,11.685299
Austria,AUT,1992,12.844338
Austria,AUT,1993,13.412046
Austria,AUT,1994,12.913870000000001
Austria,AUT,1995,13.549477000000001
Austria,AUT,1996,12.422714000000001
Austria,AUT,1997,13.103437
Austria,AUT,1998,13.510368000000001
Austria,AUT,1999,14.634186
Austria,AUT,2000,14.976806000000002
Austria,AUT,2001,14.443689000000001
Austria,AUT,2002,14.173238
Austria,AUT,2003,11.794925
Austria,AUT,2004,13.130104
Austria,AUT,2005,13.438334000000001
Austria,AUT,2006,13.530805
Austria,AUT,2007,14.271579000000001
Austria,AUT,2008,14.717027
Austria,AUT,2009,15.515364
Austria,AUT,2010,14.657432000000002
